DATE,NO2,TRANSITS,TEMPERATURE C,WIND km/h,RAIN
2022-03-18,47.0,144288.0,11.0,10,False
2022-03-21,54.0,129926.0,9.0,6,False
2022-03-22,78.0,138567.0,8.0,6,False
2022-03-23,91.0,143340.0,10.0,4,False
2022-03-24,99.0,146386.0,11.0,4,False
2022-03-25,104.0,145948.0,12.0,5,False
2022-03-28,103.0,129969.0,13.0,4,False
2022-03-29,114.0,141896.0,12.0,7,False
2022-03-30,62.0,138168.0,11.0,10,True
2022-03-31,46.0,144363.0,12.0,7,True
2022-04-01,46.0,143556.0,11.0,10,True
2022-04-04,47.0,130829.0,9.0,6,False
2022-04-05,96.0,143437.0,10.0,4,False
2022-04-06,111.0,147751.0,11.0,7,False
2022-04-07,69.0,152898.0,14.0,10,False
2022-04-11,50.0,137889.0,12.0,5,False
2022-04-12,92.0,150216.0,13.0,6,False
2022-04-13,98.0,150234.0,15.0,8,False
2022-04-14,83.0,134918.0,16.0,6,False
2022-04-15,107.0,109484.0,17.0,6,False
2022-04-19,34.0,112529.0,15.0,8,False
2022-04-20,79.0,133940.0,14.0,14,False
2022-04-21,56.0,139975.0,13.0,12,True
2022-04-22,60.0,138666.0,12.0,9,True
2022-04-26,33.0,136279.0,14.0,7,True
2022-04-27,78.0,145362.0,16.0,6,False
2022-04-28,72.0,153137.0,17.0,11,False
2022-04-29,64.0,154456.0,18.0,9,False
2022-05-02,48.0,142043.0,17.0,8,False
2022-05-03,85.0,155656.0,18.0,9,True
2022-05-04,64.0,155881.0,17.0,7,True
2022-05-05,70.0,158877.0,15.0,8,True
2022-05-06,62.0,152772.0,14.0,7,True
2022-05-09,47.0,141807.0,19.0,5,True
2022-05-10,118.0,154585.0,21.0,5,False
2022-05-11,88.0,154756.0,23.0,7,False
2022-05-12,68.0,157784.0,22.0,11,False
2022-05-13,42.0,155479.0,22.0,10,False
2022-05-16,39.0,141558.0,24.0,8,False
2022-05-17,57.0,153617.0,24.0,6,False
2022-05-18,57.0,156581.0,24.0,14,False
2022-05-19,64.0,161027.0,24.0,11,False
2022-05-20,54.0,161280.0,24.0,7,False
2022-05-23,29.0,150164.0,24.0,9,True
2022-05-24,41.0,155342.0,22.0,9,True
2022-05-25,62.0,159004.0,22.0,6,True
2022-05-26,49.0,165584.0,24.0,8,False
2022-05-27,56.0,158323.0,25.0,5,False
2022-05-30,21.0,142792.0,18.0,10,False
2022-05-31,39.0,153731.0,20.0,6,False
2022-06-01,50.0,146682.0,23.0,5,False
2022-06-06,66.0,153191.0,24.0,6,False
2022-06-13,48.0,139449.0,28.0,7,False
2022-06-14,62.0,147593.0,27.0,12,False
2022-06-15,50.0,158508.0,27.0,8,False
2022-06-16,50.0,164847.0,28.0,7,False
2022-06-17,51.0,153371.0,29.0,8,False
2022-06-20,26.0,135722.0,28.0,7,False
2022-06-21,44.0,147706.0,28.0,10,False
2022-06-22,33.0,155944.0,25.0,7,True
